[02:28:16] [INFO] [MQTT] Conectado exitosamente con código: 0
[02:28:33] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[02:32:50] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[02:32:51] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[02:32:51] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[02:32:52] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[02:32:53] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[02:32:53] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[03:13:21] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[05:45:58] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[05:46:46] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[05:46:54] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
